Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","01371","Almonds, in shell","2024","2024","ha","198531","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","01371","Almonds, in shell","2024","2024","kg/ha","357","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","01371","Almonds, in shell","2024","2024","t","70872.73","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","ha","13518","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","kg/ha","791.4","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","10697.62","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","01341","Apples","2024","2024","ha","24720","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","01341","Apples","2024","2024","kg/ha","5679.2","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","01341","Apples","2024","2024","t","140388.43","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","01343","Apricots","2024","2024","ha","6890","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","01343","Apricots","2024","2024","kg/ha","5425.4","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","01343","Apricots","2024","2024","t","37382.97","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","01216","Artichokes","2024","2024","ha","3582","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","01216","Artichokes","2024","2024","kg/ha","7101","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","01216","Artichokes","2024","2024","t","25438.14","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","01211","Asparagus","2024","2024","t","268.19","I","Value imputed by a receiving agency"
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","01311","Avocados","2024","2024","ha","31","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","01311","Avocados","2024","2024","kg/ha","10846.4","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","01311","Avocados","2024","2024","t","337","E","Estimated value"
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","0115","Barley","2024","2024","ha","225000","X","Figure from external organization"
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","0115","Barley","2024","2024","kg/ha","1333.3","X","Figure from external organization"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","0115","Barley","2024","2024","t","300000","X","Figure from external organization"
