Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","t","85900","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","t","78041","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","t","70244","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2021","2021","t","116529","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2022","2022","t","93740","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2023","2023","t","64485","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2018","2018","t","55300","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","t","59500","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","t","25400","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2021","2021","t","71300","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2022","2022","t","72900","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2023","2023","t","72900","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","t","5900","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","t","6200","X","Figure from external organization"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","t","5700","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2021","2021","t","6166","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2022","2022","t","6191","I","Value imputed by a receiving agency"
"RFN","Fertilizers by Nutrient","788","Tunisia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2023","2023","t","3888","I","Value imputed by a receiving agency"
