Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5087","Mineral fertilizers","2018","2018","t","88050","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5087","Mineral fertilizers","2018","2018","t","24198","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5087","Mineral fertilizers","2018","2018","t","6225","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5087","Mineral fertilizers","2019","2019","t","81470.5","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5087","Mineral fertilizers","2019","2019","t","24830.2","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5087","Mineral fertilizers","2019","2019","t","5893","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5087","Mineral fertilizers","2020","2020","t","59922","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5087","Mineral fertilizers","2020","2020","t","11990","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5087","Mineral fertilizers","2020","2020","t","5976","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5087","Mineral fertilizers","2021","2021","t","90914.5","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5087","Mineral fertilizers","2021","2021","t","27468","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5087","Mineral fertilizers","2021","2021","t","7372.89","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5087","Mineral fertilizers","2022","2022","t","84370","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5087","Mineral fertilizers","2022","2022","t","30956","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5087","Mineral fertilizers","2022","2022","t","7715.265","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5087","Mineral fertilizers","2023","2023","t","57142.5","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5087","Mineral fertilizers","2023","2023","t","26988.4","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5087","Mineral fertilizers","2023","2023","t","3605.52","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5089","Manure applied","2018","2018","t","15794.6812","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5089","Manure applied","2018","2018","t","3388.5205","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5089","Manure applied","2018","2018","t","8911.3023","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5089","Manure applied","2019","2019","t","16017.2253","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5089","Manure applied","2019","2019","t","3460.5601","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5089","Manure applied","2019","2019","t","8903.0275","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5089","Manure applied","2020","2020","t","16471.1671","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5089","Manure applied","2020","2020","t","3557.7535","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5089","Manure applied","2020","2020","t","9179.0403","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5089","Manure applied","2021","2021","t","16491.0187","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5089","Manure applied","2021","2021","t","3568.3636","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5089","Manure applied","2021","2021","t","9110.5501","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5089","Manure applied","2022","2022","t","16715.1797","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5089","Manure applied","2022","2022","t","3624.0682","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5089","Manure applied","2022","2022","t","9136.7657","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5089","Manure applied","2023","2023","t","16874.531","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5089","Manure applied","2023","2023","t","3659.1642","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5089","Manure applied","2023","2023","t","9207.2252","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5077","Crop harvest removal","2018","2018","t","62339.201","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5077","Crop harvest removal","2018","2018","t","22298.8265","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2018","2018","t","40868.9225","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5077","Crop harvest removal","2019","2019","t","76079.9144","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5077","Crop harvest removal","2019","2019","t","18999.8899","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2019","2019","t","41062.2572","E","Estimated value"
