Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","3211","X","Figure from external organization","Figure from international organizations"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","3511","X","Figure from external organization","Figure from international organizations"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","3412","X","Figure from external organization","Figure from international organizations"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","3299","X","Figure from external organization","Figure from international organizations"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","3247","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","3195","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1309","Insecticides","2018","2018","t","512","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1309","Insecticides","2019","2019","t","560","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1309","Insecticides","2020","2020","t","544","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1309","Insecticides","2021","2021","t","526","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1309","Insecticides","2022","2022","t","518","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1309","Insecticides","2023","2023","t","510","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1331","Fungicides and Bactericides","2018","2018","t","2010","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1331","Fungicides and Bactericides","2019","2019","t","2198","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1331","Fungicides and Bactericides","2020","2020","t","2136","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1331","Fungicides and Bactericides","2021","2021","t","2065","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1331","Fungicides and Bactericides","2022","2022","t","2032","E","Estimated value","Estimated Value"
"RP","Pesticides Use","788","Tunisia","5157","Agricultural Use","1331","Fungicides and Bactericides","2023","2023","t","2000","E","Estimated value","Estimated Value"
