Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2018","2018","°C","0.441","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2019","2019","°C","-0.096","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2020","2020","°C","1.947","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2021","2021","°C","1.994","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2022","2022","°C","0.325","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2023","2023","°C","1.66","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2024","2024","°C","2.172","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7016","Dec–Jan–Feb","2025","2025","°C","1.142","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2018","2018","°C","1.995","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2019","2019","°C","0.449","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2020","2020","°C","2.266","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2021","2021","°C","1.738","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2022","2022","°C","1.472","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2023","2023","°C","1.603","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2024","2024","°C","2.626","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7017","Mar–Apr–May","2025","2025","°C","2.562","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2018","2018","°C","1.593","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2019","2019","°C","2.889","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2020","2020","°C","1.776","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2021","2021","°C","3.616","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2022","2022","°C","3.03","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2023","2023","°C","2.455","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2024","2024","°C","2.759","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7018","Jun–Jul–Aug","2025","2025","°C","2.338","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2018","2018","°C","1.418","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2019","2019","°C","1.447","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2020","2020","°C","1.336","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2021","2021","°C","2.141","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2022","2022","°C","3.057","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2023","2023","°C","3.303","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2024","2024","°C","3.204","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7019","Sep–Oct–Nov","2025","2025","°C","2.05","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.362","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.172","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.831","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2021","2021","°C","2.372","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.971","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.255","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.69","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2025","2025","°C","2.023","E","Estimated value"
